 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.160             289.091              18.261             283.828              74.197               0.623               1.557
               0.025             288.060              17.581             283.654              77.833               0.419               1.440
               0.000             288.474              17.985             284.111              78.267               0.595               1.620
               0.000             288.884              18.211             284.115              76.136               0.907               0.795
               0.000             288.730              18.379             284.920              80.563               0.797               1.984
               0.000             288.946              18.478             284.797              79.126               0.844               1.445
               0.001             290.334              19.574             285.464              76.453               1.127               1.066
               0.000             291.815              20.762             286.188              73.760               0.808               1.440
               0.000             290.966              20.055             285.782              74.986               0.476               2.079
               0.156             290.212              19.425             285.397              75.997               0.563               1.427
               0.000             290.463              19.660             285.558              75.999               0.930               1.422
               0.248             290.246              19.584             285.772              77.657               0.708               1.788
               0.000             289.240              18.778             285.179              79.508               0.461               1.829
               0.070             289.220              18.415             284.300              74.703               0.946               1.609
               0.001             288.786              18.036             283.758              74.904               1.082               1.431
               0.090             289.302              18.513             284.247              75.040               1.172               1.886
               0.032             289.784              19.139             285.223              77.500               1.119               1.551
               0.000             289.632              19.060             285.299              78.352               1.213               1.364
               0.000             291.557              20.376             285.745              72.086               1.241               1.697
               0.086             290.423              19.695             285.600              76.931               0.706               1.769
               0.000             290.156              19.471             285.492              77.297               0.819               1.749
               0.029             290.593              19.874             285.885              77.158               0.845               1.550
               0.000             289.943              19.335             285.554              78.131               0.125               1.970
               0.038             292.183              20.535             284.761              67.052               0.897               1.340
               0.133             297.296              22.004             278.785              36.950              -0.198              -0.054
               0.154             302.318              23.065             273.235              16.259               0.156              -0.651
               0.000             304.483              25.393             278.353              20.476               0.803               0.321
               0.046             301.712              25.622             283.436              35.730               1.249               1.455
               0.002             300.928              24.636             282.282              33.708               1.546               2.000
               0.023             297.668              22.943             283.063              42.160               1.052               2.065
               0.019             293.625              21.097             283.584              58.613               0.614               1.617
               0.000             291.061              19.737             284.296              69.935               0.381               2.283
               0.000             288.859              18.299             284.452              77.726               0.376               2.618
               0.000             288.957              18.088             283.635              73.457               0.886               2.005
               0.000             290.023              18.839             283.603              70.575               0.793               1.940
               0.000             291.069              19.849             284.868              71.220               0.958               1.725
               0.000             290.808              19.605             284.536              71.200               0.982               1.654
               0.119             290.931              19.702             284.582              70.987               0.871               1.626
               0.223             291.697              20.326             285.070              69.916               0.722               1.632
               0.164             292.241              20.637             284.978              67.601               0.713               1.523
               0.000             292.487              20.838             285.024              67.275               1.020               1.367
               0.000             295.114              22.560             285.443              59.454               0.672               1.201
               0.015             299.370              24.530             284.689              42.740               0.758               1.252
               0.000             298.557              24.440             285.283              47.759               0.685               1.534
               0.031             296.417              23.219             285.139              54.226               0.645               1.644
               0.000             295.651              23.178             286.146              60.474               0.681               1.851
               0.000             293.002              21.294             285.560              66.952               0.454               1.874
               0.000             290.781              19.665             284.905              72.263               0.538               2.037
               0.025             289.887              18.842             284.116              72.257               0.569               1.958
               0.019             290.694              19.552             284.716              71.860               1.250               1.833
               0.000             291.362              20.205             285.317              72.232               0.953               1.674
               0.027             292.043              20.585             285.133              69.153               1.015               1.430
               0.052             294.018              21.589             284.706              59.981               1.002               1.531
               0.000             295.491              22.403             284.418              54.615               0.991               1.463
               0.000             296.706              22.909             283.969              49.141               1.037               1.610
               0.062             296.509              22.958             284.620              51.148               0.402               1.576
               0.174             295.601              22.889             285.778              58.218               0.737               1.828
               0.000             294.839              22.669             286.262              63.060               0.750               1.720
               0.312             295.253              23.530             288.018              67.484               0.257               2.457
               0.000             294.279              22.789             287.572              69.705               0.562               1.975
               0.064             294.416              22.874             287.551              69.190               0.950               1.747
               0.000             294.761              22.968             286.995              66.740               0.757               1.605
               0.022             297.810              24.357             286.613              52.720               1.204               1.674
               0.000             296.186              23.635             286.439              59.927               0.833               1.367
               0.009             295.314              23.259             287.380              64.311               0.037               2.133
               0.000             295.369              23.958             289.081              70.443               0.351               2.477
               0.000             296.778              24.635             288.969              63.616               1.071               1.535
               0.000             295.672              23.810             287.843              66.174               1.300               1.306
               0.237             295.721              23.513             287.180              62.960               1.502               1.413
               0.000             295.349              23.585             287.911              67.083               0.829               1.861
               0.042             295.006              23.535             288.130              69.907               0.684               1.792
               0.000             294.960              22.924             286.524              64.413               0.905               1.637
               0.029             294.403              22.359             285.775              64.136               0.823               1.703
               0.000             295.270              22.900             285.705              61.295               0.628               1.409
               0.061             294.812              22.752             286.307              64.130               0.687               2.083
               0.000             293.632              22.172             286.960              69.886              -0.020               2.126
               0.153             295.369              23.127             286.681              62.545               0.467               1.511
               0.000             295.297              22.806             286.032              60.153               0.823               1.815
               0.000             293.604              22.015             286.394              68.528               0.544               1.980
               0.000             292.755              21.577             286.715              72.708               0.352               1.912
               0.000             293.031              21.620             286.342              70.231               0.873               1.232
